density_drop,normal_collateral,generation_retention,threshold,false_match_rate,proxy_fpr,deep_retrieval_hits,outlier_retrieval_hits,num_triggers,deep_proxy_tpr,outlier_proxy_tpr,estimate_kind
0.0,0.0,1.0,2,0.001,2.788820977613995e-05,7,8,8,1.0,1.0,aggregate_from_filtering_csv
0.0,0.0,0.75,2,0.001,2.788820977613995e-05,7,8,8,0.9986572265625,0.9996185302734375,aggregate_from_filtering_csv
0.0,0.0,0.5,2,0.001,2.788820977613995e-05,7,8,8,0.9375,0.96484375,aggregate_from_filtering_csv
0.0,0.0,0.25,2,0.001,2.788820977613995e-05,7,8,8,0.5550537109375,0.6329193115234375,aggregate_from_filtering_csv
0.05,0.05,1.0,2,0.001,2.788820977613995e-05,7,8,8,1.0,1.0,aggregate_from_filtering_csv
0.05,0.05,0.75,2,0.001,2.788820977613995e-05,7,8,8,0.9986572265625,0.9996185302734375,aggregate_from_filtering_csv
0.05,0.05,0.5,2,0.001,2.788820977613995e-05,7,8,8,0.9375,0.96484375,aggregate_from_filtering_csv
0.05,0.05,0.25,2,0.001,2.788820977613995e-05,7,8,8,0.5550537109375,0.6329193115234375,aggregate_from_filtering_csv
0.1,0.1,1.0,2,0.001,2.788820977613995e-05,7,8,8,1.0,1.0,aggregate_from_filtering_csv
0.1,0.1,0.75,2,0.001,2.788820977613995e-05,7,8,8,0.9986572265625,0.9996185302734375,aggregate_from_filtering_csv
0.1,0.1,0.5,2,0.001,2.788820977613995e-05,7,8,8,0.9375,0.96484375,aggregate_from_filtering_csv
0.1,0.1,0.25,2,0.001,2.788820977613995e-05,7,8,8,0.5550537109375,0.6329193115234375,aggregate_from_filtering_csv
0.15,0.15,1.0,2,0.001,2.788820977613995e-05,7,7,8,1.0,1.0,aggregate_from_filtering_csv
0.15,0.15,0.75,2,0.001,2.788820977613995e-05,7,7,8,0.9986572265625,0.9986572265625,aggregate_from_filtering_csv
0.15,0.15,0.5,2,0.001,2.788820977613995e-05,7,7,8,0.9375,0.9375,aggregate_from_filtering_csv
0.15,0.15,0.25,2,0.001,2.788820977613995e-05,7,7,8,0.5550537109375,0.5550537109375,aggregate_from_filtering_csv
0.2,0.2,1.0,2,0.001,2.788820977613995e-05,7,5,8,1.0,1.0,aggregate_from_filtering_csv
0.2,0.2,0.75,2,0.001,2.788820977613995e-05,7,5,8,0.9986572265625,0.984375,aggregate_from_filtering_csv
0.2,0.2,0.5,2,0.001,2.788820977613995e-05,7,5,8,0.9375,0.8125,aggregate_from_filtering_csv
0.2,0.2,0.25,2,0.001,2.788820977613995e-05,7,5,8,0.5550537109375,0.3671875,aggregate_from_filtering_csv
0.25,0.25,1.0,2,0.001,2.788820977613995e-05,8,4,8,1.0,1.0,aggregate_from_filtering_csv
0.25,0.25,0.75,2,0.001,2.788820977613995e-05,8,4,8,0.9996185302734375,0.94921875,aggregate_from_filtering_csv
0.25,0.25,0.5,2,0.001,2.788820977613995e-05,8,4,8,0.96484375,0.6875,aggregate_from_filtering_csv
0.25,0.25,0.25,2,0.001,2.788820977613995e-05,8,4,8,0.6329193115234375,0.26171875,aggregate_from_filtering_csv
0.3,0.3,1.0,2,0.001,2.788820977613995e-05,8,3,8,1.0,1.0,aggregate_from_filtering_csv
0.3,0.3,0.75,2,0.001,2.788820977613995e-05,8,3,8,0.9996185302734375,0.84375,aggregate_from_filtering_csv
0.3,0.3,0.5,2,0.001,2.788820977613995e-05,8,3,8,0.96484375,0.5,aggregate_from_filtering_csv
0.3,0.3,0.25,2,0.001,2.788820977613995e-05,8,3,8,0.6329193115234375,0.15625,aggregate_from_filtering_csv
0.35,0.35,1.0,2,0.001,2.788820977613995e-05,8,0,8,1.0,0.0,aggregate_from_filtering_csv
0.35,0.35,0.75,2,0.001,2.788820977613995e-05,8,0,8,0.9996185302734375,0.0,aggregate_from_filtering_csv
0.35,0.35,0.5,2,0.001,2.788820977613995e-05,8,0,8,0.96484375,0.0,aggregate_from_filtering_csv
0.35,0.35,0.25,2,0.001,2.788820977613995e-05,8,0,8,0.6329193115234375,0.0,aggregate_from_filtering_csv
0.4,0.4,1.0,2,0.001,2.788820977613995e-05,8,0,8,1.0,0.0,aggregate_from_filtering_csv
0.4,0.4,0.75,2,0.001,2.788820977613995e-05,8,0,8,0.9996185302734375,0.0,aggregate_from_filtering_csv
0.4,0.4,0.5,2,0.001,2.788820977613995e-05,8,0,8,0.96484375,0.0,aggregate_from_filtering_csv
0.4,0.4,0.25,2,0.001,2.788820977613995e-05,8,0,8,0.6329193115234375,0.0,aggregate_from_filtering_csv
0.45,0.45,1.0,2,0.001,2.788820977613995e-05,8,0,8,1.0,0.0,aggregate_from_filtering_csv
0.45,0.45,0.75,2,0.001,2.788820977613995e-05,8,0,8,0.9996185302734375,0.0,aggregate_from_filtering_csv
0.45,0.45,0.5,2,0.001,2.788820977613995e-05,8,0,8,0.96484375,0.0,aggregate_from_filtering_csv
0.45,0.45,0.25,2,0.001,2.788820977613995e-05,8,0,8,0.6329193115234375,0.0,aggregate_from_filtering_csv
0.5,0.5,1.0,2,0.001,2.788820977613995e-05,8,0,8,1.0,0.0,aggregate_from_filtering_csv
0.5,0.5,0.75,2,0.001,2.788820977613995e-05,8,0,8,0.9996185302734375,0.0,aggregate_from_filtering_csv
0.5,0.5,0.5,2,0.001,2.788820977613995e-05,8,0,8,0.96484375,0.0,aggregate_from_filtering_csv
0.5,0.5,0.25,2,0.001,2.788820977613995e-05,8,0,8,0.6329193115234375,0.0,aggregate_from_filtering_csv
