density_drop,normal_collateral,visible_key_survival,deep_sentinel_survival,hidden_outlier_survival,top20_deep_hit_rate
0.0,0.0,0.0,1.0,1.0,0.0
0.05,0.0037037037037036535,0.0,1.0,0.041666666666666664,0.5
0.1,0.045370370370370394,0.0,1.0,0.0,0.55
0.15,0.09537037037037033,0.0,1.0,0.0,0.6
0.2,0.14722222222222225,0.0,1.0,0.0,0.6
0.25,0.20092592592592595,0.0,1.0,0.0,0.6
0.3,0.25462962962962965,0.0,1.0,0.0,0.6
0.35,0.31018518518518523,0.0,1.0,0.0,0.6
0.4,0.3657407407407407,0.0,1.0,0.0,0.6
0.45,0.4222222222222223,0.0,1.0,0.0,0.6
0.5,0.47962962962962963,0.0,1.0,0.0,0.65
