density_drop,normal_collateral_mean,normal_collateral_min,normal_collateral_max,visible_key_survival_mean,visible_key_survival_min,visible_key_survival_max,deep_sentinel_survival_mean,deep_sentinel_survival_min,deep_sentinel_survival_max,hidden_outlier_survival_mean,hidden_outlier_survival_min,hidden_outlier_survival_max,top20_deep_hit_rate_mean,top20_deep_hit_rate_min,top20_deep_hit_rate_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.0,0.05
0.05,0.0027777777777777566,0.0,0.005555555555555536,0.0,0.0,0.0,1.0,1.0,1.0,0.0062499999999999995,0.0,0.041666666666666664,0.58,0.4,0.75
0.1,0.04296296296296297,0.037962962962962976,0.04629629629629628,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.595,0.4,0.75
0.15,0.09435185185185185,0.09166666666666667,0.09722222222222221,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.605,0.4,0.75
0.2,0.14666666666666667,0.1425925925925926,0.1509259259259259,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.61,0.4,0.75
0.25,0.20166666666666666,0.19907407407407407,0.2055555555555556,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.61,0.4,0.75
0.3,0.2563888888888889,0.25462962962962965,0.2601851851851852,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.61,0.4,0.75
0.35,0.3118518518518519,0.30925925925925923,0.31666666666666665,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.635,0.45,0.75
0.4,0.36694444444444446,0.3648148148148148,0.37222222222222223,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.65,0.45,0.75
0.45,0.4226851851851852,0.4212962962962963,0.4268518518518518,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.67,0.55,0.75
0.5,0.47962962962962963,0.47777777777777775,0.4824074074074074,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.69,0.6,0.75
