density_drop,normal_collateral,utility_retained_proxy,deep_survival,deep_survival_ci95_low,deep_survival_ci95_high,hidden_outlier_survival,hidden_outlier_ci95_low,hidden_outlier_ci95_high,deep_trigger_hit_at_20,deep_hit_ci95_low,deep_hit_ci95_high,deep_removed,outlier_removed
0.0,0.0,1.0,1.0,0.6755843804891231,1.0,1.0,0.6755843804891231,1.0,0.875,0.5291051942301386,0.9775830911367038,0,0
0.05,0.05,0.95,1.0,0.6755843804891231,1.0,1.0,0.6755843804891231,1.0,0.875,0.5291051942301386,0.9775830911367038,0,0
0.1,0.1,0.9,1.0,0.6755843804891231,1.0,1.0,0.6755843804891231,1.0,0.875,0.5291051942301386,0.9775830911367038,0,0
0.15,0.15,0.85,1.0,0.6755843804891231,1.0,0.875,0.5291051942301386,0.9775830911367038,0.875,0.5291051942301386,0.9775830911367038,0,1
0.2,0.2,0.8,1.0,0.6755843804891231,1.0,0.625,0.30573785458380187,0.863158240538479,0.875,0.5291051942301386,0.9775830911367038,0,3
0.25,0.25,0.75,1.0,0.6755843804891231,1.0,0.5,0.21521252682444186,0.7847874731755582,1.0,0.6755843804891231,1.0,0,4
0.3,0.3,0.7,1.0,0.6755843804891231,1.0,0.375,0.13684175946152105,0.6942621454161981,1.0,0.6755843804891231,1.0,0,5
0.35,0.35,0.65,1.0,0.6755843804891231,1.0,0.0,0.0,0.3244156195108769,1.0,0.6755843804891231,1.0,0,8
0.4,0.4,0.6,1.0,0.6755843804891231,1.0,0.0,0.0,0.3244156195108769,1.0,0.6755843804891231,1.0,0,8
0.45,0.45,0.55,1.0,0.6755843804891231,1.0,0.0,0.0,0.3244156195108769,1.0,0.6755843804891231,1.0,0,8
0.5,0.5,0.5,1.0,0.6755843804891231,1.0,0.0,0.0,0.3244156195108769,1.0,0.6755843804891231,1.0,0,8
