density_drop,generation_retention,num_triggers_used,threshold,false_match_rate,proxy_fpr,deep_proxy_tpr,hidden_outlier_proxy_tpr,deep_retrieval_hits_capped,outlier_retrieval_hits_capped
0.35,0.5,2,1,0.001,0.0019990000000000003,0.75,0.0,2,0
0.35,0.5,2,2,0.001,1e-06,0.25,0.0,2,0
0.35,0.5,3,1,0.001,0.0029970010000000004,0.875,0.0,3,0
0.35,0.5,3,2,0.001,2.9980000000000003e-06,0.5,0.0,3,0
0.35,0.5,3,3,0.001,1e-09,0.125,0.0,3,0
0.35,0.5,4,1,0.001,0.003994003999,0.9375,0.0,4,0
0.35,0.5,4,2,0.001,5.992003e-06,0.6875,0.0,4,0
0.35,0.5,4,3,0.001,3.997e-09,0.3125,0.0,4,0
0.35,0.5,5,1,0.001,0.004990009995001,0.96875,0.0,5,0
0.35,0.5,5,2,0.001,9.980014996e-06,0.8125,0.0,5,0
0.35,0.5,5,3,0.001,9.985006e-09,0.5,0.0,5,0
0.35,0.5,6,1,0.001,0.005985019985005999,0.984375,0.0,6,0
0.35,0.5,6,2,0.001,1.4960044976004999e-05,0.890625,0.0,6,0
0.35,0.5,6,3,0.001,1.9955035990000002e-08,0.65625,0.0,6,0
0.35,0.5,7,1,0.001,0.006979034965020993,0.9921875,0.0,7,0
0.35,0.5,7,2,0.001,2.0930104916034995e-05,0.9375,0.0,7,0
0.35,0.5,7,3,0.001,3.4895125930015e-08,0.7734375,0.0,7,0
0.35,0.5,8,1,0.001,0.007972055930055972,0.99609375,0.0,8,0
0.35,0.5,8,2,0.001,2.788820977613995e-05,0.96484375,0.0,8,0
0.35,0.5,8,3,0.001,5.5790335720119965e-08,0.85546875,0.0,8,0
